8.282632538766576213e-09,3.051685564445682196e-03
5.824392492120920985e-09,3.493843656597671148e-03
5.638245380286018935e-09,3.265178564822990553e-03
5.621411583640362666e-09,3.509376988266409061e-03
5.598545074462894618e-09,3.433155291008182196e-03
5.700776071259473786e-09,3.402449867942072045e-03
5.877819928255953138e-09,3.433155291008182196e-03
5.554329265247696052e-09,3.433155291008182196e-03
5.644314216844968228e-09,3.540082411332519646e-03
5.642797007705230698e-09,3.479032805471665019e-03
2.912976525046613420e-09,1.327485749215746294e-03
5.386460911143914427e-09,1.175042354699292781e-03
5.337621226455229898e-09,1.251264051957519429e-03
5.609237786495329048e-09,1.113631508567072045e-03
5.416985714074341017e-09,1.006704388242735029e-03
5.651936386570790084e-09,1.098820657441065916e-03
5.577195774425164100e-09,1.220558628891409278e-03
5.427606178052502073e-09,1.006704388242735029e-03
5.561951434973518735e-09,1.006704388242735029e-03
5.728230331883290284e-09,1.311952417547008164e-03
5.488655783913356081e-09,1.190214446096664802e-03
5.523804462317268635e-09,7.321617820045720447e-04
3.273060827544245562e-09,-6.560845808549804628e-04
5.394083080869737110e-09,-6.560845808549804628e-04
5.404739668875034025e-09,-1.007571364894102204e-03
5.598545074462894618e-09,-8.699388215036547118e-04
5.485657489661018535e-09,-6.867900039210908308e-04
5.493279659386841217e-09,-6.716179125237185929e-04
5.523804462317268635e-09,-8.240613070401722143e-04
5.592476237903946152e-09,-1.083793062152329069e-03
5.421537341493553607e-09,-1.296924822258271100e-03
5.520733920010657715e-09,-1.098603913278335198e-03
5.548188180634473386e-09,-5.798628835967537063e-04
5.476445862741185776e-09,-8.547667301062825823e-04
5.397117499149211343e-09,-9.006442445697650798e-04
2.838199788873850337e-09,-4.974712025035556151e-03
5.272019993175164127e-09,-6.348147536769102421e-03
5.462754856456414627e-09,-5.920800295743119598e-03
5.584817944150986783e-09,-5.493091814445771534e-03
5.566503062392730498e-09,-6.103587873054317804e-03
5.508523998838486583e-09,-5.661429780902328852e-03
5.468823693015363093e-09,-6.241220416444765405e-03
5.510041207978224113e-09,-6.119121204723056151e-03
